DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB00439,Cerivastatin,145599-86-6,approved; withdrawn,SEERZIQQUAZTOL-ANMDKAQQSA-N,"InChI=1S/C26H34FNO5/c1-15(2)25-21(11-10-19(29)12-20(30)13-23(31)32)24(17-6-8-18(27)9-7-17)22(14-33-5)26(28-25)16(3)4/h6-11,15-16,19-20,29-30H,12-14H2,1-5H3,(H,31,32)/b11-10+/t19-,20-/m1/s1",COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,C26H34FNO5,C07966,,446156,46505877,3558,CHEMBL1477,116,393588,18376
DB00440,Trimethoprim,738-70-5,approved; vet_approved,IEDVJHCEMCRBQM-UHFFFAOYSA-N,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,C14H18N4O3,C01965,D00145,5578,46507125,45924,CHEMBL22,TOP,5376,18069
DB00441,Gemcitabine,95058-81-4,approved,SDUQYLNIPVEERB-QPPQHZFASA-N,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)/t4-,6-,7-/m1/s1",NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,C9H11F2N3O4,C07650,D02368,60750,46506425,175901,CHEMBL888,GEO,54753,
DB00442,Entecavir,142217-69-4,approved; investigational,QDGZDCVAUDNJFG-FXQIFTODSA-N,"InChI=1S/C12H15N5O3/c1-5-6(3-18)8(19)2-7(5)17-4-14-9-10(17)15-12(13)16-11(9)20/h4,6-8,18-19H,1-3H2,(H3,13,15,16,20)/t6-,7-,8-/m0/s1",NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](CO)C1=C,C12H15N5O3,,D04008,153941,46504864,473990,CHEMBL713,,135679,
DB00444,Teniposide,29767-20-2,approved,NRUKOCRGYNPUPR-QBPJDGROSA-N,"InChI=1S/C32H32O13S/c1-37-19-6-13(7-20(38-2)25(19)33)23-14-8-17-18(42-12-41-17)9-15(14)28(16-10-39-30(36)24(16)23)44-32-27(35)26(34)29-21(43-32)11-40-31(45-29)22-4-3-5-46-22/h3-9,16,21,23-24,26-29,31-35H,10-12H2,1-2H3/t16-,21+,23+,24-,26+,27+,28+,29+,31+,32-/m0/s1",[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1,C32H32O13S,C11153,D02698,452548,46507536,,CHEMBL452231,9TP,398606,50248198
DB00446,Chloramphenicol,56-75-7,approved; vet_approved,WIIZWVCIJKGZOK-RKDXNWHRSA-N,"InChI=1S/C11H12Cl2N2O5/c12-10(13)11(18)14-8(5-16)9(17)6-1-3-7(4-2-6)15(19)20/h1-4,8-10,16-17H,5H2,(H,14,18)/t8-,9-/m1/s1",OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,C11H12Cl2N2O5,C00918,D00104,5959,46505318,17698,CHEMBL130,CLM,5744,23447
DB00448,Lansoprazole,103577-45-3,approved; investigational,MJIHNNLFOKEZEW-UHFFFAOYSA-N,"InChI=1S/C16H14F3N3O2S/c1-10-13(20-7-6-14(10)24-9-16(17,18)19)8-25(23)15-21-11-4-2-3-5-12(11)22-15/h2-7H,8-9H2,1H3,(H,21,22)",CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,C16H14F3N3O2S,,D00355,3883,46508975,6375,CHEMBL480,,3746,47032
DB00449,Dipivefrin,52365-63-6,approved,OCUJLLGVOUDECM-UHFFFAOYSA-N,"InChI=1S/C19H29NO5/c1-18(2,3)16(22)24-14-9-8-12(13(21)11-20-7)10-15(14)25-17(23)19(4,5)6/h8-10,13,20-21H,11H2,1-7H3",CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1,C19H29NO5,C06963,D02349,3105,46504716,4646,CHEMBL1201262,,2994,
DB00450,Droperidol,548-73-2,approved; vet_approved,RMEDXOLNCUSCGS-UHFFFAOYSA-N,"InChI=1S/C22H22FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-11H,3,6,12-15H2,(H,24,28)",FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,C22H22FN3O2,,D00308,3168,46505291,4717,CHEMBL1108,,3056,50017705
DB00454,Meperidine,57-42-1,approved,XADCESSVHJOZHK-UHFFFAOYSA-N,"InChI=1S/C15H21NO2/c1-3-18-14(17)15(9-11-16(2)12-10-15)13-7-5-4-6-8-13/h4-8H,3,9-12H2,1-2H3",CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,C15H21NO2,C07128,D08343,4058,46506899,6754,CHEMBL607,,3918,50026752
DB00455,Loratadine,79794-75-5,approved; investigational,JCCNYMKQOSZNPW-UHFFFAOYSA-N,"InChI=1S/C22H23ClN2O2/c1-2-27-22(26)25-12-9-15(10-13-25)20-19-8-7-18(23)14-17(19)6-5-16-4-3-11-24-21(16)20/h3-4,7-8,11,14H,2,5-6,9-10,12-13H2,1H3",CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,C22H23ClN2O2,,D00364,3957,46507853,6538,CHEMBL998,,3820,22876
DB00457,Prazosin,19216-56-9,approved,IENZQIKPVFGBNW-UHFFFAOYSA-N,"InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)",COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,C19H21N5O4,C07368,D08411,4893,46508594,8364,CHEMBL2,XRA,4724,29568
DB00458,Imipramine,50-49-7,approved,BCGWQEUPMDMJNV-UHFFFAOYSA-N,"InChI=1S/C19H24N2/c1-20(2)14-7-15-21-18-10-5-3-8-16(18)12-13-17-9-4-6-11-19(17)21/h3-6,8-11H,7,12-15H2,1-2H3",CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,C19H24N2,C07049,D08070,3696,46507351,47499,CHEMBL11,IXX,3568,50010859
DB00459,Acitretin,55079-83-9,approved,IHUNBGSDBOWDMA-AQFIFDHZSA-N,"InChI=1S/C21H26O3/c1-14(8-7-9-15(2)12-21(22)23)10-11-19-16(3)13-20(24-6)18(5)17(19)4/h7-13H,1-6H3,(H,22,23)/b9-7+,11-10+,14-8+,15-12+",COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,C21H26O3,,D02754,5284513,46509178,50173,CHEMBL1131,,4447573,50088429
DB00460,Verteporfin,129497-78-5,approved; investigational,YTZALCGQUPRCGW-MXVXOLGGSA-N,"InChI=1S/C41H42N4O8/c1-9-23-20(2)29-17-34-27-13-10-26(39(49)52-7)38(40(50)53-8)41(27,5)35(45-34)19-30-22(4)25(12-15-37(48)51-6)33(44-30)18-32-24(11-14-36(46)47)21(3)28(43-32)16-31(23)42-29/h9-10,13,16-19,38,42,44H,1,11-12,14-15H2,2-8H3,(H,46,47)/b28-16-,29-17-,30-19-,31-16-,32-18-,33-18-,34-17-,35-19-/t38-,41+/m0/s1",COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C,C41H42N4O8,,D01162,5362420,46506236,,CHEMBL2052016,,4515032,
DB00461,Nabumetone,42924-53-8,approved,BLXXJMDCKKHMKV-UHFFFAOYSA-N,"InChI=1S/C15H16O2/c1-11(16)3-4-12-5-6-14-10-15(17-2)8-7-13(14)9-12/h5-10H,3-4H2,1-2H3",COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,C15H16O2,,D00425,4409,46507729,7443,CHEMBL1070,NBO,4256,40128
DB00465,Ketorolac,74103-06-3,approved,OZWKMVRBQXNZKK-UHFFFAOYSA-N,"InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)",OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,C15H13NO3,C07062,,3826,46507019,76223,CHEMBL469,,3694,85511
DB00471,Montelukast,158966-92-8,approved,UCHDWCPVSPXUMX-TZIWLTJVSA-N,"InChI=1S/C35H36ClNO3S/c1-34(2,40)30-9-4-3-7-25(30)13-17-32(41-23-35(18-19-35)22-33(38)39)27-8-5-6-24(20-27)10-15-29-16-12-26-11-14-28(36)21-31(26)37-29/h3-12,14-16,20-21,32,40H,13,17-19,22-23H2,1-2H3,(H,38,39)/b15-10+/t32-/m1/s1",OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,C35H36ClNO3S,C07482,D08229,5281040,46505585,50730,CHEMBL787,MTK,4444507,50052024
DB00472,Fluoxetine,54910-89-3,approved; vet_approved,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,"InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3",CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,C17H18F3NO,,D00823,3386,46507902,86990,CHEMBL41,,3269,30130
DB00474,Methohexital,151-83-7,approved,NZXKDOXHBHYTKP-UHFFFAOYSA-N,"InChI=1S/C14H18N2O3/c1-5-7-8-10(3)14(9-6-2)11(17)15-13(19)16(4)12(14)18/h6,10H,2,5,9H2,1,3-4H3,(H,15,17,19)",CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,C14H18N2O3,C07844,D04985,9034,46507954,102216,CHEMBL7413,,8683,
DB00475,Chlordiazepoxide,58-25-3,approved; illicit; investigational,ANTSCNMPPGJYLG-UHFFFAOYSA-N,"InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9H,10H2,1H3,(H,18,19)",CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,C16H14ClN3O,,D00267,2712,46505044,3611,CHEMBL451,,10248513,50007664
DB00476,Duloxetine,116539-59-4,approved,ZEUITGRIYCTCEM-KRWDZBQOSA-N,"InChI=1S/C18H19NOS/c1-19-12-11-17(18-10-5-13-21-18)20-16-9-4-7-14-6-2-3-8-15(14)16/h2-10,13,17,19H,11-12H2,1H3/t17-/m0/s1",CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,C18H19NOS,,,60835,46507937,36795,CHEMBL1175,29E,54822,84745
DB00477,Chlorpromazine,50-53-3,approved; investigational; vet_approved,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,"InChI=1S/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3",CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,C17H19ClN2S,C06906,D00270,2726,46508395,3647,CHEMBL71,Z80,2625,50001888
DB00478,Rimantadine,13392-28-4,approved; investigational,UBCHPRBFMUDMNC-UHFFFAOYSA-N,"InChI=1S/C12H21N/c1-8(13)12-5-9-2-10(6-12)4-11(3-9)7-12/h8-11H,2-7,13H2,1H3",CC(N)C12CC3CC(CC(C3)C1)C2,C12H21N,C07236,D08483,5071,46505973,94440,CHEMBL959,,4893,50216627
DB00479,Amikacin,37517-28-5,approved; investigational; vet_approved,LKCWBDHBTVXHDL-RMDFUYIESA-N,"InChI=1S/C22H43N5O13/c23-2-1-8(29)20(36)27-7-3-6(25)18(39-22-16(34)15(33)13(31)9(4-24)37-22)17(35)19(7)40-21-14(32)11(26)12(30)10(5-28)38-21/h6-19,21-22,28-35H,1-5,23-26H2,(H,27,36)/t6-,7+,8-,9+,10+,11-,12+,13+,14+,15-,16+,17-,18+,19-,21+,22+/m0/s1",NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,C22H43N5O13,C06820,D02543,37768,46506386,2637,CHEMBL177,AKN,34635,50237603
DB00480,Lenalidomide,191732-72-6,approved,GOTYRUGSSMKFNF-UHFFFAOYSA-N,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,C13H13N3O3,,D04687,216326,46505725,63791,CHEMBL848,,187515,65454
DB00481,Raloxifene,84449-90-1,approved; investigational,GZUITABIAKMVPG-UHFFFAOYSA-N,"InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2",OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,C28H27NO4S,C07228,,5035,46506514,8772,CHEMBL81,RAL,4859,19441
DB00482,Celecoxib,169590-42-5,approved; investigational,RZEKVGVHFLEQIL-UHFFFAOYSA-N,"InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)",CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,C17H14F3N3O2S,C07589,D00567,2662,46505596,41423,CHEMBL118,CEL,2562,11639
DB00484,Brimonidine,59803-98-4,approved,XYLJNLCSTIOKRM-UHFFFAOYSA-N,"InChI=1S/C11H10BrN5/c12-9-7(17-11-15-5-6-16-11)1-2-8-10(9)14-4-3-13-8/h1-4H,5-6H2,(H2,15,16,17)",BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,C11H10BrN5,C07886,D07540,2435,46507305,3175,CHEMBL844,,2341,34572
DB00485,Dicloxacillin,3116-76-5,approved; investigational; vet_approved,YFAGHNZHGGCZAX-JKIFEVAISA-N,"InChI=1S/C19H17Cl2N3O5S/c1-7-10(12(23-29-7)11-8(20)5-4-6-9(11)21)15(25)22-13-16(26)24-14(18(27)28)19(2,3)30-17(13)24/h4-6,13-14,17H,1-3H3,(H,22,25)(H,27,28)/t13-,14+,17-/m1/s1",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O,C19H17Cl2N3O5S,C06950,D02348,18381,46508182,4511,CHEMBL893,,17358,50350476
DB00486,Nabilone,51022-71-0,approved; investigational,GECBBEABIDMGGL-RTBURBONSA-N,"InChI=1S/C24H36O3/c1-6-7-8-9-12-23(2,3)16-13-20(26)22-18-15-17(25)10-11-19(18)24(4,5)27-21(22)14-16/h13-14,18-19,26H,6-12,15H2,1-5H3/t18-,19-/m1/s1",[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,C24H36O3,,D05099,5284592,46505171,,CHEMBL947,,4447641,50287941
DB00489,Sotalol,3930-20-9,approved,ZBMZVLHSJCTVON-UHFFFAOYSA-N,"InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3",CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,C12H20N2O3S,C07309,,5253,46505012,63622,CHEMBL471,,5063,25762
DB00490,Buspirone,36505-84-7,approved; investigational,QWCRAEMEVRGPNT-UHFFFAOYSA-N,"InChI=1S/C21H31N5O2/c27-18-16-21(6-1-2-7-21)17-19(28)26(18)11-4-3-10-24-12-14-25(15-13-24)20-22-8-5-9-23-20/h5,8-9H,1-4,6-7,10-17H2",O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,C21H31N5O2,C06861,D07593,2477,46508113,3223,CHEMBL49,,2383,50001859
DB00491,Miglitol,72432-03-2,approved,IBAQFPQHRJAVAV-ULAWRXDQSA-N,"InChI=1S/C8H17NO5/c10-2-1-9-3-6(12)8(14)7(13)5(9)4-11/h5-8,10-14H,1-4H2/t5-,6+,7-,8-/m1/s1",OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,C8H17NO5,C07708,D00625,441314,46504492,6935,CHEMBL1561,MIG,390074,50242271
DB00492,Fosinopril,98048-97-6,approved,BIDNLKIUORFRQP-FLODCBCLSA-N,"InChI=1S/C30H46NO7P/c1-4-28(33)37-30(22(2)3)38-39(36,18-12-11-15-23-13-7-5-8-14-23)21-27(32)31-20-25(19-26(31)29(34)35)24-16-9-6-10-17-24/h5,7-8,13-14,22,24-26,30H,4,6,9-12,15-21H2,1-3H3,(H,34,35)/t25-,26+,30+,39+/m1/s1",CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,C30H46NO7P,C07016,D07992,55891,46506495,5163,CHEMBL3039598,,23089342,
DB00493,Cefotaxime,63527-52-6,approved,GPRBEKHLDVQUJE-QSWIMTSFSA-N,"InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)/b20-9-/t10-,14-/m1/s1",[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C16H17N5O7S2,C06885,D07647,5742673,46506911,204928,CHEMBL1730,CE3,4674877,
DB00494,Entacapone,130929-57-6,approved; investigational,JRURYQJSLYLRLN-BJMVGYQFSA-N,"InChI=1S/C14H15N3O5/c1-3-16(4-2)14(20)10(8-15)5-9-6-11(17(21)22)13(19)12(18)7-9/h5-7,18-19H,3-4H2,1-2H3/b10-5+",CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,C14H15N3O5,C07943,D00781,5281081,46508734,4798,CHEMBL953,PD9,4444537,50108879
DB00495,Zidovudine,30516-87-1,approved,HBOMLICNUCNMMY-XLPZGREQSA-N,"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1",CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,C10H13N5O4,C07210,D00413,35370,46508240,10110,CHEMBL129,AZZ,32555,50002692
DB00496,Darifenacin,133099-04-4,approved; investigational,HXGBXQDTNZMWGS-RUZDIDTESA-N,"InChI=1S/C28H30N2O2/c29-27(31)28(23-7-3-1-4-8-23,24-9-5-2-6-10-24)25-14-17-30(20-25)16-13-21-11-12-26-22(19-21)15-18-32-26/h1-12,19,25H,13-18,20H2,(H2,29,31)/t25-/m1/s1",NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,C28H30N2O2,,D01699,444031,46508104,391960,CHEMBL1346,,392054,50109647
DB00497,Oxycodone,76-42-6,approved; illicit; investigational,BRUQQQPBMZOVGD-XFKAJCMBSA-N,"InChI=1S/C18H21NO4/c1-19-8-7-17-14-10-3-4-12(22-2)15(14)23-16(17)11(20)5-6-18(17,21)13(19)9-10/h3-4,13,16,21H,5-9H2,1-2H3/t13-,16+,17+,18-/m1/s1",COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C,C18H21NO4,C08018,D05312,5284603,46508908,7852,CHEMBL656,,4447649,50370595
DB00499,Flutamide,13311-84-7,approved; investigational,MKXKFYHWDHIYRV-UHFFFAOYSA-N,"InChI=1S/C11H11F3N2O3/c1-6(2)10(17)15-7-3-4-9(16(18)19)8(5-7)11(12,13)14/h3-6H,1-2H3,(H,15,17)",CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,C11H11F3N2O3,C07653,D00586,3397,46508874,5132,CHEMBL806,HFT,3280,50131270
DB00500,Tolmetin,26171-23-3,approved,UPSPUYADGBWSHF-UHFFFAOYSA-N,"InChI=1S/C15H15NO3/c1-10-3-5-11(6-4-10)15(19)13-8-7-12(16(13)2)9-14(17)18/h3-8H,9H2,1-2H3,(H,17,18)",CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,C15H15NO3,C07149,,5509,46507060,71941,CHEMBL1020,TLT,5308,50295287
DB00501,Cimetidine,51481-61-9,approved; investigational,AQIXAKUUQRKLND-UHFFFAOYSA-N,"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)",CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,C10H16N6S,C06952,D00295,2756,46505360,3699,CHEMBL30,,2654,22889
DB00502,Haloperidol,52-86-8,approved,LNEPOXFFQSENCJ-UHFFFAOYSA-N,"InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2",OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,C21H23ClFNO2,C01814,D00136,3559,46508794,5613,CHEMBL54,GMJ,3438,21398
DB00503,Ritonavir,155213-67-5,approved; investigational,NCDNCNXCDXHOMX-XGKFQTDJSA-N,"InChI=1S/C37H48N6O5S2/c1-24(2)33(42-36(46)43(5)20-29-22-49-35(40-29)25(3)4)34(45)39-28(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)41-37(47)48-21-30-19-38-23-50-30/h6-15,19,22-25,28,31-33,44H,16-18,20-21H2,1-5H3,(H,39,45)(H,41,47)(H,42,46)/t28-,31-,32-,33-/m0/s1",CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,C37H48N6O5S2,C07240,D00427,392622,46505050,45409,CHEMBL163,RIT,347980,520
DB00507,Nitazoxanide,55981-09-4,approved; investigational; vet_approved,YQNQNVDNTFHQSW-UHFFFAOYSA-N,"InChI=1S/C12H9N3O5S/c1-7(16)20-9-5-3-2-4-8(9)11(17)14-12-13-6-10(21-12)15(18)19/h2-6H,1H3,(H,13,14,17)",CC(=O)OC1=CC=CC=C1C(=O)NC1=NC=C(S1)[N+]([O-])=O,C12H9N3O5S,,D02486,41684,46507813,94807,CHEMBL1401,NTI,38037,50075050
DB00515,Cisplatin,15663-27-1,approved,LXZZYRPGZAFOLE-UHFFFAOYSA-L,InChI=1S/2ClH.2H3N.Pt/h2*1H;2*1H3;/q;;;;+2/p-2,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],Cl2H6N2Pt,C06911,D00275,2767,46504561,27899,CHEMBL2068237,CPT,76401,50028111
DB00518,Albendazole,54965-21-8,approved; vet_approved,HXHWSAZORRCQMX-UHFFFAOYSA-N,"InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)",CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,C12H15N3O2S,C01779,D00134,2082,46506472,16664,CHEMBL1483,ALW,1998,50241293
DB00519,Trandolapril,87679-37-6,approved,VXFJYXUZANRPDJ-WTNASJBWSA-N,"InChI=1S/C24H34N2O5/c1-3-31-24(30)19(14-13-17-9-5-4-6-10-17)25-16(2)22(27)26-20-12-8-7-11-18(20)15-21(26)23(28)29/h4-6,9-10,16,18-21,25H,3,7-8,11-15H2,1-2H3,(H,28,29)/t16-,18+,19-,20-,21-/m0/s1",[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,C24H34N2O5,,D00383,5484727,46508300,9649,CHEMBL1519,,4588590,50369775
DB00520,Caspofungin,162808-62-0,approved,JYIKNQVWKBUSNH-WVDDFWQHSA-N,"InChI=1S/C52H88N10O15/c1-5-28(2)24-29(3)12-10-8-6-7-9-11-13-39(69)56-34-26-38(68)46(55-22-21-54)60-50(75)43-37(67)19-23-61(43)52(77)41(36(66)18-20-53)58-49(74)42(45(71)44(70)31-14-16-32(64)17-15-31)59-48(73)35-25-33(65)27-62(35)51(76)40(30(4)63)57-47(34)72/h14-17,28-30,33-38,40-46,55,63-68,70-71H,5-13,18-27,53-54H2,1-4H3,(H,56,69)(H,57,72)(H,58,74)(H,59,73)(H,60,75)/t28-,29+,30+,33+,34-,35-,36+,37-,38+,40-,41-,42-,43-,44-,45-,46-/m0/s1",[H][C@@]12C[C@@H](O)CN1C(=O)[C@@H](NC(=O)[C@]([H])(C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]1[C@@H](O)CCN1C(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O,C52H88N10O15,,D07626,3035406,46508288,474180,CHEMBL499808,,17277006,
DB00521,Carteolol,51781-06-7,approved,LWAFSWPYPHEXKX-UHFFFAOYSA-N,"InChI=1S/C16H24N2O3/c1-16(2,3)17-9-11(19)10-21-14-6-4-5-13-12(14)7-8-15(20)18-13/h4-6,11,17,19H,7-10H2,1-3H3,(H,18,20)",CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2,C16H24N2O3,C06874,D07624,2583,46507513,3437,CHEMBL839,,2485,50040065
